User,Prompt,Mark,Reward
User 1,song feels unfinished,0.5,0.43612283433269805
User 1,unique genre fusion,0.5,0.1773884314017926
User 1,catchy chorus,0.5,0.37182050103276165
User 1,unique vocal style,0.5,0.800408375264391
User 1,very original sound,0.6902,0.7705280718098048
User 1,chorus is underwhelming,0.5,0.9864083139072956
User 1,melody is forgettable,0.5,0.1869714156964859
User 1,unique genre fusion,0.5,0.7070444844567372
User 1,catchy and upbeat,0.5,0.6410368512303642
User 1,lyrics are powerful,0.71075,0.7478888088883154
User 1,production is clean,0.70095,0.32172185601302217
User 1,excellent harmonies,0.8592,0.1371601675763775
User 1,memorable hook,0.5,0.6380141204228681
User 1,catchy chorus,0.5,0.31456848914056745
User 1,chorus stands out,0.5,0.8442736702812305
User 1,chorus stands out,0.5,0.7370425758189237
User 1,creative sound design,0.7202,0.9868255414465579
User 1,vocals are outstanding,0.8062,0.7744174435253406
User 1,energy drops in the middle,0.6366,0.016866901444399618
User 1,track feels too long,0.5,0.7131897824669926
